Galaxy_name,A_flux_180,A_binary_180,A_flux_90,A_binary_90,Min_A_flux_180,Min_A_binary_180
587726100410532043.fits,0.264013967,0.229437229,0.445092109,0.451659452,0.171364891,0.154401154
587726100415840431.fits,0.179288885,0.194366197,0.251990573,0.26056338,0.084227566,0.095774648
587726100416036980.fits,0.197451237,0.211155378,0.343937839,0.304780876,0.079542639,0.119521912
587726100954677596.fits,0.205473146,0.154506438,0.161946099,0.143776824,0.108299732,0.150214592
587726101491482865.fits,0.249486605,0.196765499,0.197654792,0.185983827,0.074744709,0.115902965
587726101492728108.fits,0.111166603,0.099571224,0.180662068,0.165793235,0.111166603,0.099571224
587726101494825246.fits,0.135158976,0.0904,0.128076464,0.1016,0.086468235,0.0792
587726101494825320.fits,0.264414532,0.178992497,0.288908397,0.285101822,0.142844757,0.118971061
587726102020751620.fits,0.415271857,0.390990991,0.517726659,0.49009009,0.134727668,0.171171171
587726102023241905.fits,0.12932782,0.086892489,0.180023784,0.141384389,0.072245196,0.113402062
587726102561882147.fits,0.199838071,0.187214612,0.265231472,0.198630137,0.064872914,0.100456621
587726102563455149.fits,0.19420901,0.14887218,0.174999652,0.154887218,0.082341725,0.106766917
587726877264314838.fits,0.162664472,0.146034099,0.154111319,0.151964418,0.095080364,0.140103781
587726877277880449.fits,0.296438456,0.304347826,0.357602584,0.346014493,0.076379828,0.134057971
587726877798301756.fits,0.22468105,0.156831043,0.58747654,0.656426839,0.154376042,0.149555376
587726877800858210.fits,0.177010715,0.091829356,0.31447629,0.373101952,0.122777098,0.097613883
587726877808722139.fits,0.139064903,0.13226342,0.117012025,0.125622579,0.065940426,0.100166021
587726878880629104.fits,0.109039468,0.095251319,0.268566525,0.252707581,0.091236466,0.103582338
587726878882725948.fits,0.567613943,0.482416592,0.458269873,0.410279531,0.382658329,0.314697926
587726879415861652.fits,0.120143263,0.068610635,0.128459448,0.079759863,0.094808275,0.084048027
587726879416320435.fits,0.213771212,0.24137931,0.366860259,0.279310345,0.11102197,0.096551724
587726879421956195.fits,0.363969096,0.215611004,0.497882228,0.424184261,0.360874799,0.258477287
587726879425364080.fits,0.151823838,0.089700997,0.163703475,0.142857143,0.092333517,0.069767442
587727178444832905.fits,0.230410486,0.223223223,0.190196394,0.2002002,0.112647081,0.143143143
587727178459447469.fits,0.167889513,0.158009841,0.304514864,0.314379442,0.097609444,0.142700929
587727178469474402.fits,0.246044394,0.18699187,0.258824876,0.17398374,0.081463969,0.095934959
587727178476290203.fits,0.146183152,0.120110765,0.137779148,0.124956732,0.108328096,0.112495673
587727178983080072.fits,0.28267203,0.339712919,0.301822634,0.353110048,0.212678358,0.274641148
587727178988847281.fits,0.175802862,0.174639769,0.264468653,0.222478386,0.167038575,0.227665706
587727179013357583.fits,0.56770806,0.444543035,0.531082749,0.41703638,0.474227345,0.334516415
587727179521589378.fits,0.171429327,0.135869565,0.335504847,0.273097826,0.07258338,0.133152174
587727179527684257.fits,0.15933301,0.160714286,0.314589236,0.297321429,0.066801144,0.105357143
587727179529257099.fits,0.184641021,0.136145733,0.222508495,0.201821668,0.087795621,0.097794823
587727180065013845.fits,0.147700889,0.141577678,0.134286899,0.138821908,0.105921906,0.084395453
