Galaxy_name,x,y,flux
587726032802283715.fits,128,128,160.555555556
587726032805232902.fits,129,128,210.777777778
,100,131,76.3333333333
,115,141,192.0
587726033845747856.fits,128,128,166.111111111
587726033849417915.fits,129,128,167.222222222
587726033859379354.fits,128,128,130.444444444
587726033869340858.fits,129,128,142.0
587726033877074189.fits,129,129,193.111111111
587726100410532043.fits,128,128,115.222222222
,146,140,152.555555556
587726100415840431.fits,129,128,127.111111111
587726100416036980.fits,129,128,154.111111111
587726100954677596.fits,128,128,163.666666667
587726101491482865.fits,128,128,151.333333333
587726101492728108.fits,129,129,180.777777778
587726101494825246.fits,129,128,163.666666667
587726101494825320.fits,129,128,144.222222222
,149,133,77.4444444444
587726102020751620.fits,128,129,132.111111111
,145,140,77.4444444444
587726102023241905.fits,128,129,146.666666667
587726102561882147.fits,129,128,178.444444444
587726102563455149.fits,129,129,127.222222222
587726877264314838.fits,129,128,143.333333333
587726877277880449.fits,129,128,174.777777778
587726877798301756.fits,112,89,184.444444444
,108,103,111.777777778
,128,129,198.444444444
587726877800858210.fits,129,128,141.111111111
587726877808722139.fits,128,129,193.666666667
587726878880629104.fits,141,93,66.6666666667
,129,128,204.222222222
587726878882725948.fits,135,137,216.555555556
587726879415861652.fits,128,127,151.777777778
587726879416320435.fits,128,128,144.555555556
587726879421956195.fits,160,108,161.555555556
,148,115,200.111111111
,164,123,55.5555555556
,128,128,173.0
,80,132,205.222222222
587726879425364080.fits,129,128,128.888888889
587727178444832905.fits,129,129,124.0
587727178459447469.fits,139,104,63.5555555556
,129,128,159.111111111
587727178469474402.fits,128,129,124.444444444
587727178476290203.fits,128,128,189.666666667
587727178983080072.fits,128,128,155.555555556
587727178988847281.fits,129,128,141.777777778
,154,140,47.5555555556
587727179013357583.fits,128,129,172.777777778
,136,148,229.888888889
587727179521589378.fits,129,129,196.666666667
587727179527684257.fits,129,129,160.111111111
587727179529257099.fits,128,128,157.555555556
587727180065013845.fits,128,128,141.888888889
587727180085657767.fits,129,129,149.444444444
587727180597624973.fits,128,128,194.888888889
587727180601426026.fits,128,128,187.666666667
,142,147,95.8888888889
587727180605423723.fits,129,129,178.777777778
587727180605423757.fits,129,129,185.111111111
587727212808897048.fits,105,123,0.0
,129,128,143.666666667
587727212813091083.fits,129,129,190.222222222
587727213341836037.fits,129,128,198.0
587727213347733818.fits,129,129,167.777777778
587727213347865030.fits,129,128,172.777777778
,111,139,184.666666667
,95,151,184.888888889
587727213348520295.fits,88,86,70.6666666667
,142,101,78.8888888889
,164,102,81.3333333333
,110,106,139.333333333
,129,128,184.444444444
,106,130,124.666666667
,175,134,115.888888889
,166,153,71.5555555556
,133,163,63.1111111111
,96,166,80.4444444444
587727213880607138.fits,125,110,190.0
,129,128,159.111111111
587727213883752951.fits,129,128,187.444444444
,125,150,118.888888889
587727213885587693.fits,129,128,198.333333333
587727214421410300.fits,129,128,174.0
587727214956445914.fits,128,129,162.222222222
587727220860780691.fits,128,128,200.555555556
587727220862550404.fits,150,114,151.888888889
,129,129,132.777777778
587727221403025684.fits,128,128,146.888888889
587727221413118197.fits,128,128,146.444444444
587727221414625491.fits,128,128,142.333333333
,138,150,106.222222222
587727221937930560.fits,128,128,154.444444444
587727221948547153.fits,128,129,175.333333333
587727222470672469.fits,128,129,134.777777778
,161,158,239.444444444
587727222478995747.fits,128,129,144.777777778
,148,136,131.888888889
587727222485352635.fits,128,128,185.111111111
587727223013179769.fits,129,128,137.333333333
587727225155354742.fits,128,127,163.222222222
587727225161056412.fits,128,129,198.222222222
